OBJECTID,OBJECTID_1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MAJORITY_COUNT,MAJORITY_PERCENT,MINORITY,MINORITY_COUNT,MINORITY_PERCENT,MEDIAN,PCT90
1,1,714,3.25866E-05,0,1,1,0.487394958,0.499841088,348,2,0,366,51.26050186,1,348,48.73949814,0,1
2,2,693,3.16282E-05,0,1,1,0.497835498,0.499995315,345,2,0,348,50.21640015,1,345,49.78359985,0,1
3,3,693,3.16282E-05,0,1,1,0.275613276,0.446822781,191,2,0,502,72.43869781,1,191,27.56130028,0,1
4,4,693,3.16282E-05,0,1,1,0.131313131,0.337742495,91,2,0,602,86.86869812,1,91,13.13129997,0,1
5,5,738,3.3682E-05,0,0,0,0,0,0,1,0,738,100,0,738,100,0,0
6,6,693,3.16282E-05,0,1,1,0.422799423,0.49400412,293,2,0,400,57.7201004,1,293,42.2798996,0,1
7,7,693,3.16282E-05,0,1,1,0.473304473,0.49928684,328,2,0,365,52.66960144,1,328,47.33039856,0,1
8,8,693,3.16282E-05,0,1,1,0.002886003,0.053643955,2,2,0,691,99.71140289,1,2,0.288599998,0,0
9,9,709,3.23584E-05,0,0,0,0,0,0,1,0,709,100,0,709,100,0,0
10,10,714,3.25866E-05,0,1,1,0.254901961,0.435806094,182,2,0,532,74.50980377,1,182,25.49020004,0,1
11,11,693,3.16282E-05,0,1,1,0.148629149,0.355722539,103,2,0,590,85.13710022,1,103,14.86289978,0,1
12,12,693,3.16282E-05,0,1,1,0.176046176,0.380859449,122,2,0,571,82.395401,1,122,17.60460091,0,1
13,13,693,3.16282E-05,0,1,1,0.248196248,0.431966284,172,2,0,521,75.18039703,1,172,24.81959915,0,1
14,14,714,3.25866E-05,0,1,1,0.431372549,0.49526788,308,2,0,406,56.8628006,1,308,43.13729858,0,1
15,15,693,3.16282E-05,0,1,1,0.81962482,0.384499642,568,2,1,568,81.96250153,0,125,18.03750038,1,1
16,16,693,3.16282E-05,0,1,1,0.103896104,0.305125718,72,2,0,621,89.61039734,1,72,10.3895998,0,1
17,17,714,3.25866E-05,0,1,1,0.135854342,0.342633827,97,2,0,617,86.41459656,1,97,13.58539963,0,1
18,18,693,3.16282E-05,0,0,0,0,0,0,1,0,693,100,0,693,100,0,0
19,19,693,3.16282E-05,0,1,1,0.702741703,0.457051203,487,2,1,487,70.27420044,0,206,29.72579956,1,1
20,20,693,3.16282E-05,0,1,1,0.572871573,0.494661231,397,2,1,397,57.28720093,0,296,42.71279907,1,1
21,21,693,3.16282E-05,0,1,1,0.548340548,0.497657705,380,2,1,380,54.83409882,0,313,45.16590118,1,1
22,22,693,3.16282E-05,0,1,1,0.027417027,0.163295236,19,2,0,674,97.25830078,1,19,2.741699934,0,0
23,23,714,3.25866E-05,0,1,1,0.00280112,0.052851435,2,2,0,712,99.71990204,1,2,0.280099988,0,0
24,24,693,3.16282E-05,0,1,1,0.483405483,0.499724546,335,2,0,358,51.65950012,1,335,48.34049988,0,1
25,25,714,3.25866E-05,0,1,1,0.74789916,0.434218846,534,2,1,534,74.78990173,0,180,25.21010017,1,1
26,26,708,3.23128E-05,0,1,1,0.459039548,0.498319417,325,2,0,383,54.09600067,1,325,45.90399933,0,1
27,27,693,3.16282E-05,0,1,1,0.367965368,0.482251859,255,2,0,438,63.20349884,1,255,36.79650116,0,1
28,28,693,3.16282E-05,0,1,1,0.672438672,0.46932388,466,2,1,466,67.24389648,0,227,32.7560997,1,1
29,29,693,3.16282E-05,0,1,1,0.494949495,0.499974492,343,2,0,350,50.50500107,1,343,49.49499893,0,1
30,30,18,8.21511E-07,0,0,0,0,0,0,1,0,18,100,0,18,100,0,0
31,31,693,3.16282E-05,0,1,1,0.604617605,0.488932671,419,2,1,419,60.46179962,0,274,39.53820038,1,1
32,32,693,3.16282E-05,0,1,1,0.207792208,0.405727256,144,2,0,549,79.22080231,1,144,20.7791996,0,1
33,33,693,3.16282E-05,0,1,1,0.414141414,0.492573145,287,2,0,406,58.58589935,1,287,41.41410065,0,1
34,34,693,3.16282E-05,0,1,1,0.497835498,0.499995315,345,2,0,348,50.21640015,1,345,49.78359985,0,1
35,35,714,3.25866E-05,0,0,0,0,0,0,1,0,714,100,0,714,100,0,0
36,36,495,2.25916E-05,0,1,1,0.032323232,0.17685712,16,2,0,479,96.7677002,1,16,3.232300043,0,0
37,37,714,3.25866E-05,0,0,0,0,0,0,1,0,714,100,0,714,100,0,0
38,38,706,3.22215E-05,0,1,1,0.368271955,0.482335694,260,2,0,446,63.17279816,1,260,36.82720184,0,1
39,39,693,3.16282E-05,0,1,1,0.562770563,0.496044208,390,2,1,390,56.27709961,0,303,43.72290039,1,1
40,40,713,3.2541E-05,0,1,1,0.287517532,0.452604906,205,2,0,508,71.24819946,1,205,28.75180054,0,1
41,41,693,3.16282E-05,0,1,1,0.424242424,0.494227468,294,2,0,399,57.57580185,1,294,42.42419815,0,1
42,42,714,3.25866E-05,0,1,1,0.014005602,0.117513596,10,2,0,704,98.59940338,1,10,1.400599957,0,0
43,43,700,3.19477E-05,0,1,1,0.494285714,0.499967346,346,2,0,354,50.57139969,1,346,49.42860031,0,1
44,44,693,3.16282E-05,0,1,1,0.650793651,0.476719283,451,2,1,451,65.07939911,0,242,34.92060089,1,1
45,45,703,3.20846E-05,0,1,1,0.445234708,0.496991713,313,2,0,390,55.47650146,1,313,44.52349854,0,1
46,46,170,7.75872E-06,0,0,0,0,0,0,1,0,170,100,0,170,100,0,0
47,47,693,3.16282E-05,0,1,1,0.370851371,0.483032744,257,2,0,436,62.91490173,1,257,37.08509827,0,1
48,48,714,3.25866E-05,0,1,1,0.392156863,0.488231357,280,2,0,434,60.78430176,1,280,39.21569824,0,1
49,49,693,3.16282E-05,0,1,1,0.008658009,0.092644738,6,2,0,687,99.13420105,1,6,0.865800023,0,0
50,50,695,3.17195E-05,0,1,1,0.530935252,0.499042093,369,2,1,369,53.09349823,0,326,46.90650177,1,1
51,51,714,3.25866E-05,0,1,1,0.354341737,0.47831336,253,2,0,461,64.56580353,1,253,35.43420029,0,1
52,52,714,3.25866E-05,0,1,1,0.504201681,0.499982346,360,2,1,360,50.42020035,0,354,49.57979965,1,1
53,53,714,3.25866E-05,0,1,1,0.669467787,0.470404793,478,2,1,478,66.94680023,0,236,33.05319977,1,1
54,54,693,3.16282E-05,0,1,1,0.197691198,0.398257942,137,2,0,556,80.23090363,1,137,19.76910019,0,1
55,55,714,3.25866E-05,0,1,1,0.194677871,0.395952519,139,2,0,575,80.53220367,1,139,19.46780014,0,1
56,56,714,3.25866E-05,0,1,1,0.336134454,0.472385523,240,2,0,474,66.38659668,1,240,33.61339951,0,1
57,57,695,3.17195E-05,0,1,1,0.30647482,0.461029288,213,2,0,482,69.35250092,1,213,30.64749908,0,1
58,58,63,2.87529E-06,0,0,0,0,0,0,1,0,63,100,0,63,100,0,0
59,59,358,1.6339E-05,0,1,1,0.083798883,0.277085961,30,2,0,328,91.62010193,1,30,8.379899979,0,0
60,60,693,3.16282E-05,0,1,1,0.571428571,0.494871659,396,2,1,396,57.14289856,0,297,42.85710144,1,1
61,61,693,3.16282E-05,0,1,1,0.398268398,0.489541297,276,2,0,417,60.1731987,1,276,39.8268013,0,1
62,62,693,3.16282E-05,0,1,1,0.063492063,0.243845897,44,2,0,649,93.65080261,1,44,6.349199772,0,0
63,63,693,3.16282E-05,0,1,1,0.122655123,0.328040917,85,2,0,608,87.73449707,1,85,12.26550007,0,1
64,64,696,3.17651E-05,0,1,1,0.360632184,0.480183935,251,2,0,445,63.9367981,1,251,36.0632019,0,1
65,65,714,3.25866E-05,0,1,1,0.911764706,0.283636787,651,2,1,651,91.17649841,0,63,8.82349968,1,1
66,66,693,3.16282E-05,0,1,1,0.802308802,0.398257942,556,2,1,556,80.23090363,0,137,19.76910019,1,1
67,67,726,3.31343E-05,0,1,1,0.519283747,0.499627999,377,2,1,377,51.92839813,0,349,48.07160187,1,1
68,68,714,3.25866E-05,0,1,1,0.074229692,0.26214432,53,2,0,661,92.57700348,1,53,7.422999859,0,0
69,69,693,3.16282E-05,0,1,1,0.502164502,0.499995315,348,2,1,348,50.21640015,0,345,49.78359985,1,1
70,70,714,3.25866E-05,0,1,1,0.453781513,0.497859269,324,2,0,390,54.62189865,1,324,45.37820053,0,1
71,71,693,3.16282E-05,0,0,0,0,0,0,1,0,693,100,0,693,100,0,0
72,72,693,3.16282E-05,0,1,1,0.779220779,0.414771933,540,2,1,540,77.92209625,0,153,22.07789993,1,1
73,73,714,3.25866E-05,0,1,1,0.484593838,0.499762594,346,2,0,368,51.54059982,1,346,48.45940018,0,1
74,74,714,3.25866E-05,0,0,0,0,0,0,1,0,714,100,0,714,100,0,0
75,75,363,1.65671E-05,0,1,1,0.093663912,0.291360573,34,2,0,329,90.63359833,1,34,9.366399765,0,0
76,76,714,3.25866E-05,0,0,0,0,0,0,1,0,714,100,0,714,100,0,0
77,77,714,3.25866E-05,0,1,1,0.214285714,0.410325903,153,2,0,561,78.5714035,1,153,21.42860031,0,1
78,78,693,3.16282E-05,0,1,1,0.411255411,0.492061376,285,2,0,408,58.87450027,1,285,41.12549973,0,1
79,79,743,3.39102E-05,0,0,0,0,0,0,1,0,743,100,0,743,100,0,0
80,80,714,3.25866E-05,0,1,1,0.578431373,0.493810206,413,2,1,413,57.8431015,0,301,42.1568985,1,1
81,81,693,3.16282E-05,0,1,1,0.373737374,0.483795152,259,2,0,434,62.62630081,1,259,37.37369919,0,1
82,82,714,3.25866E-05,0,1,1,0.070028011,0.255194218,50,2,0,664,92.99720001,1,50,7.002799988,0,0
83,83,722,3.29517E-05,0,1,1,0.367036011,0.48199645,265,2,0,457,63.29639816,1,265,36.70360184,0,1
84,84,748,3.41384E-05,0,1,1,0.719251337,0.449364942,538,2,1,538,71.92510223,0,210,28.07489967,1,1
85,85,693,3.16282E-05,0,1,1,0.225108225,0.417653579,156,2,0,537,77.48919678,1,156,22.51079941,0,1
86,86,693,3.16282E-05,0,1,1,0.369408369,0.482644617,256,2,0,437,63.05920029,1,256,36.94079971,0,1
87,87,714,3.25866E-05,0,1,1,0.425770308,0.494459253,304,2,0,410,57.42300034,1,304,42.57699966,0,1
88,88,693,3.16282E-05,0,0,0,0,0,0,1,0,693,100,0,693,100,0,0
89,89,714,3.25866E-05,0,1,1,0.018207283,0.133700328,13,2,0,701,98.1792984,1,13,1.820700049,0,0
90,90,693,3.16282E-05,0,1,1,0.215007215,0.410827351,149,2,0,544,78.4992981,1,149,21.5007,0,1
91,91,693,3.16282E-05,0,0,0,0,0,0,1,0,693,100,0,693,100,0,0
92,92,698,3.18564E-05,0,1,1,0.068767908,0.253059051,48,2,0,650,93.12319946,1,48,6.87680006,0,0
93,93,693,3.16282E-05,0,1,1,0.54978355,0.497515425,381,2,1,381,54.97840118,0,312,45.02159882,1,1
94,94,483,2.20439E-05,0,1,1,0.140786749,0.347801439,68,2,0,415,85.9213028,1,68,14.07870007,0,1
95,95,714,3.25866E-05,0,1,1,0.393557423,0.488538614,281,2,0,433,60.64429855,1,281,39.35570145,0,1
96,96,693,3.16282E-05,0,1,1,0.187590188,0.390384566,130,2,0,563,81.24099731,1,130,18.75900078,0,1
97,97,693,3.16282E-05,0,1,1,0.803751804,0.397158459,557,2,1,557,80.37519836,0,136,19.62479973,1,1
98,98,693,3.16282E-05,0,1,1,0.767676768,0.42231404,532,2,1,532,76.7677002,0,161,23.2322998,1,1
99,99,693,3.16282E-05,0,1,1,0.38961039,0.487661905,270,2,0,423,61.03900146,1,270,38.96099854,0,1
100,100,693,3.16282E-05,0,1,1,0.141414141,0.348448249,98,2,0,595,85.8585968,1,98,14.14140034,0,1
101,101,714,3.25866E-05,0,1,1,0.542016807,0.49823146,387,2,1,387,54.2016983,0,327,45.7983017,1,1
102,102,693,3.16282E-05,0,1,1,0.489177489,0.49988286,339,2,0,354,51.08229828,1,339,48.9178009,0,1
103,103,693,3.16282E-05,0,1,1,0.481962482,0.499674542,334,2,0,359,51.80379868,1,334,48.19620132,0,1
104,104,726,3.31343E-05,0,1,1,0.534435262,0.498812803,388,2,1,388,53.44350052,0,338,46.55649948,1,1
105,105,693,3.16282E-05,0,1,1,0.382395382,0.48597238,265,2,0,428,61.76050186,1,265,38.23949814,0,1
106,106,693,3.16282E-05,0,1,1,0.134199134,0.340866142,93,2,0,600,86.58010101,1,93,13.41989994,0,1
107,107,693,3.16282E-05,0,1,1,0.391053391,0.487986308,271,2,0,422,60.8946991,1,271,39.1053009,0,1
108,108,693,3.16282E-05,0,0,0,0,0,0,1,0,693,100,0,693,100,0,0
109,109,693,3.16282E-05,0,1,1,0.518037518,0.499674542,359,2,1,359,51.80379868,0,334,48.19620132,1,1
110,110,693,3.16282E-05,0,1,1,0.344877345,0.475328267,239,2,0,454,65.51229858,1,239,34.48770142,0,1
111,111,693,3.16282E-05,0,1,1,0.383838384,0.486319318,266,2,0,427,61.61619949,1,266,38.38380051,0,1
112,112,693,3.16282E-05,0,1,1,0.473304473,0.49928684,328,2,0,365,52.66960144,1,328,47.33039856,0,1
113,113,693,3.16282E-05,0,1,1,0.317460317,0.4654882,220,2,0,473,68.2539978,1,220,31.74600029,0,1
114,114,693,3.16282E-05,0,1,1,0.46031746,0.498422809,319,2,0,374,53.96829987,1,319,46.03170013,0,1
115,115,693,3.16282E-05,0,1,1,0.046176046,0.209866193,32,2,0,661,95.38240051,1,32,4.617599964,0,0
116,116,693,3.16282E-05,0,1,1,0.601731602,0.489541297,417,2,1,417,60.1731987,0,276,39.8268013,1,1
117,117,745,3.40014E-05,0,1,1,0.510067114,0.499898643,380,2,1,380,51.00669861,0,365,48.99330139,1,1
118,118,693,3.16282E-05,0,1,1,0.002886003,0.053643955,2,2,0,691,99.71140289,1,2,0.288599998,0,0
119,119,693,3.16282E-05,0,1,1,0.01010101,0.099994898,7,2,0,686,98.98989868,1,7,1.010100007,0,0
120,120,693,3.16282E-05,0,0,0,0,0,0,1,0,693,100,0,693,100,0,0
121,121,714,3.25866E-05,0,1,1,0.460784314,0.498459758,329,2,0,385,53.92160034,1,329,46.07839966,0,1
122,122,693,3.16282E-05,0,1,1,0.132756133,0.339310981,92,2,0,601,86.72440338,1,92,13.27560043,0,1
123,123,693,3.16282E-05,0,1,1,0.502164502,0.499995315,348,2,1,348,50.21640015,0,345,49.78359985,1,1
124,124,561,2.56038E-05,0,0,0,0,0,0,1,0,561,100,0,561,100,0,0
125,125,726,3.31343E-05,0,1,1,0.261707989,0.439564463,190,2,0,536,73.82920074,1,190,26.17079926,0,1
