OBJECTID,OBJECTID_1,COUNT,AREA,SUM
1,1,714,3.25866E-05,714
2,2,693,3.16282E-05,667
3,3,693,3.16282E-05,636
4,4,693,3.16282E-05,644
5,5,738,3.3682E-05,725
6,6,693,3.16282E-05,669
7,7,693,3.16282E-05,488
8,8,693,3.16282E-05,693
9,9,709,3.23584E-05,432
10,10,714,3.25866E-05,365
11,11,693,3.16282E-05,693
12,12,693,3.16282E-05,427
13,13,693,3.16282E-05,0
14,14,714,3.25866E-05,713
15,15,693,3.16282E-05,0
16,16,693,3.16282E-05,0
17,17,714,3.25866E-05,282
18,18,693,3.16282E-05,693
19,19,693,3.16282E-05,0
20,20,693,3.16282E-05,661
21,21,693,3.16282E-05,0
22,22,693,3.16282E-05,579
23,23,714,3.25866E-05,81
24,24,693,3.16282E-05,287
25,25,714,3.25866E-05,686
26,26,709,3.23584E-05,414
27,27,693,3.16282E-05,647
28,28,693,3.16282E-05,324
29,29,693,3.16282E-05,0
30,30,18,8.21511E-07,18
31,31,693,3.16282E-05,553
32,32,693,3.16282E-05,364
33,33,693,3.16282E-05,421
34,34,693,3.16282E-05,127
35,35,714,3.25866E-05,658
36,36,495,2.25916E-05,250
37,37,714,3.25866E-05,713
38,38,706,3.22215E-05,694
39,39,693,3.16282E-05,125
40,40,713,3.2541E-05,0
41,41,693,3.16282E-05,503
42,42,714,3.25866E-05,714
43,43,700,3.19477E-05,637
44,44,693,3.16282E-05,0
45,45,703,3.20846E-05,268
46,46,170,7.75872E-06,151
47,47,693,3.16282E-05,0
48,48,714,3.25866E-05,714
49,49,693,3.16282E-05,401
50,50,695,3.17195E-05,667
51,51,714,3.25866E-05,83
52,52,714,3.25866E-05,71
53,53,714,3.25866E-05,588
54,54,693,3.16282E-05,7
55,55,714,3.25866E-05,660
56,56,714,3.25866E-05,3
57,57,695,3.17195E-05,0
58,58,63,2.87529E-06,19
59,59,358,1.6339E-05,358
60,60,693,3.16282E-05,693
61,61,693,3.16282E-05,690
62,62,693,3.16282E-05,618
63,63,693,3.16282E-05,619
64,64,697,3.18108E-05,277
65,65,714,3.25866E-05,8
66,66,693,3.16282E-05,0
67,67,726,3.31343E-05,348
68,68,714,3.25866E-05,624
69,69,693,3.16282E-05,338
70,70,714,3.25866E-05,173
71,71,693,3.16282E-05,693
72,72,693,3.16282E-05,0
73,73,714,3.25866E-05,0
74,74,714,3.25866E-05,147
75,75,363,1.65671E-05,363
76,76,714,3.25866E-05,712
77,77,714,3.25866E-05,223
78,78,693,3.16282E-05,272
79,79,743,3.39102E-05,569
80,80,714,3.25866E-05,630
81,81,693,3.16282E-05,314
82,82,714,3.25866E-05,714
83,83,722,3.29517E-05,0
84,84,748,3.41384E-05,0
85,85,693,3.16282E-05,11
86,86,693,3.16282E-05,661
87,87,714,3.25866E-05,714
88,88,693,3.16282E-05,693
89,89,714,3.25866E-05,596
90,90,693,3.16282E-05,207
91,91,693,3.16282E-05,457
92,92,698,3.18564E-05,112
93,93,693,3.16282E-05,411
94,94,483,2.20439E-05,107
95,95,714,3.25866E-05,714
96,96,693,3.16282E-05,598
97,97,693,3.16282E-05,0
98,98,693,3.16282E-05,0
99,99,693,3.16282E-05,436
100,100,693,3.16282E-05,0
101,101,714,3.25866E-05,86
102,102,693,3.16282E-05,0
103,103,693,3.16282E-05,483
104,104,726,3.31343E-05,726
105,105,693,3.16282E-05,342
106,106,693,3.16282E-05,313
107,107,693,3.16282E-05,634
108,108,693,3.16282E-05,693
109,109,693,3.16282E-05,168
110,110,693,3.16282E-05,650
111,111,693,3.16282E-05,691
112,112,693,3.16282E-05,670
113,113,693,3.16282E-05,98
114,114,693,3.16282E-05,693
115,115,693,3.16282E-05,0
116,116,693,3.16282E-05,0
117,117,745,3.40014E-05,460
118,118,693,3.16282E-05,225
119,119,693,3.16282E-05,130
120,120,693,3.16282E-05,213
121,121,714,3.25866E-05,714
122,122,693,3.16282E-05,533
123,123,693,3.16282E-05,674
124,124,561,2.56038E-05,561
125,125,726,3.31343E-05,545
126,126,714,3.25866E-05,142
127,127,693,3.16282E-05,456
128,128,717,3.27235E-05,717
129,130,714,3.25866E-05,690
130,131,693,3.16282E-05,578
131,132,714,3.25866E-05,714
132,133,693,3.16282E-05,693
133,134,344,1.57E-05,344
134,135,420,1.91686E-05,369
135,136,693,3.16282E-05,688
136,137,693,3.16282E-05,0
137,138,714,3.25866E-05,696
138,139,714,3.25866E-05,0
139,140,693,3.16282E-05,141
140,141,714,3.25866E-05,0
141,142,693,3.16282E-05,0
142,143,693,3.16282E-05,382
143,144,695,3.17195E-05,0
144,145,693,3.16282E-05,0
145,146,693,3.16282E-05,693
146,147,693,3.16282E-05,49
147,148,729,3.32712E-05,729
148,149,466,2.1268E-05,0
149,150,710,3.24041E-05,674
150,151,714,3.25866E-05,714
151,152,462,2.10855E-05,380
152,153,693,3.16282E-05,604
153,154,714,3.25866E-05,676
154,155,693,3.16282E-05,654
155,156,714,3.25866E-05,200
156,157,693,3.16282E-05,693
157,158,441,2.0127E-05,137
158,159,336,1.53349E-05,280
159,160,693,3.16282E-05,671
160,161,693,3.16282E-05,572
161,162,693,3.16282E-05,674
162,163,444,2.02639E-05,383
163,164,693,3.16282E-05,0
164,165,714,3.25866E-05,410
165,166,363,1.65671E-05,363
166,167,693,3.16282E-05,0
167,168,693,3.16282E-05,407
168,169,714,3.25866E-05,7
169,170,693,3.16282E-05,0
170,171,714,3.25866E-05,0
171,172,712,3.24953E-05,663
172,173,714,3.25866E-05,714
173,174,693,3.16282E-05,692
174,175,714,3.25866E-05,714
175,176,693,3.16282E-05,693
176,177,714,3.25866E-05,691
177,178,693,3.16282E-05,609
178,179,693,3.16282E-05,0
179,180,693,3.16282E-05,0
180,181,399,1.82102E-05,397
181,182,693,3.16282E-05,432
182,183,693,3.16282E-05,593
183,184,693,3.16282E-05,272
184,185,693,3.16282E-05,0
185,186,714,3.25866E-05,527
186,187,378,1.72517E-05,377
187,188,713,3.2541E-05,713
188,189,693,3.16282E-05,35
189,190,693,3.16282E-05,0
190,191,714,3.25866E-05,711
191,192,711,3.24497E-05,462
192,193,609,2.77945E-05,46
193,194,714,3.25866E-05,651
194,195,63,2.87529E-06,63
195,196,693,3.16282E-05,548
196,197,693,3.16282E-05,0
197,198,693,3.16282E-05,0
198,199,714,3.25866E-05,76
199,200,693,3.16282E-05,0
200,201,693,3.16282E-05,16
201,202,737,3.36363E-05,737
202,203,693,3.16282E-05,693
203,204,693,3.16282E-05,693
204,205,693,3.16282E-05,19
205,206,693,3.16282E-05,0
206,207,714,3.25866E-05,0
207,208,693,3.16282E-05,0
208,209,693,3.16282E-05,693
209,210,693,3.16282E-05,0
210,211,726,3.31343E-05,726
211,212,693,3.16282E-05,566
212,213,714,3.25866E-05,300
213,214,693,3.16282E-05,610
214,215,693,3.16282E-05,693
215,216,714,3.25866E-05,0
216,217,693,3.16282E-05,693
217,218,701,3.19933E-05,124
218,219,693,3.16282E-05,587
219,220,693,3.16282E-05,693
220,221,693,3.16282E-05,509
221,222,714,3.25866E-05,714
222,223,693,3.16282E-05,384
223,224,714,3.25866E-05,714
224,225,714,3.25866E-05,714
225,226,693,3.16282E-05,693
226,227,714,3.25866E-05,0
227,228,693,3.16282E-05,291
228,229,714,3.25866E-05,651
229,230,713,3.2541E-05,0
230,231,42,1.91686E-06,42
231,232,693,3.16282E-05,659
232,233,714,3.25866E-05,114
233,234,693,3.16282E-05,672
234,235,714,3.25866E-05,708
235,236,701,3.19933E-05,0
236,237,693,3.16282E-05,693
237,238,693,3.16282E-05,0
238,239,714,3.25866E-05,288
239,240,42,1.91686E-06,42
240,241,693,3.16282E-05,41
241,242,693,3.16282E-05,0
242,243,714,3.25866E-05,186
243,244,693,3.16282E-05,128
244,245,588,2.6836E-05,565
245,246,693,3.16282E-05,96
246,247,738,3.3682E-05,114
247,248,693,3.16282E-05,693
248,249,696,3.17651E-05,696
249,250,714,3.25866E-05,263
250,251,693,3.16282E-05,693
251,252,714,3.25866E-05,0
252,253,693,3.16282E-05,115
253,254,693,3.16282E-05,693
254,255,698,3.18564E-05,0
255,256,693,3.16282E-05,0
256,257,693,3.16282E-05,693
257,258,693,3.16282E-05,502
258,259,714,3.25866E-05,635
259,260,693,3.16282E-05,0
260,261,693,3.16282E-05,498
261,262,695,3.17195E-05,671
262,263,693,3.16282E-05,693
263,264,693,3.16282E-05,9
264,265,693,3.16282E-05,640
265,266,714,3.25866E-05,714
266,267,726,3.31343E-05,606
267,268,693,3.16282E-05,0
268,269,63,2.87529E-06,63
269,270,714,3.25866E-05,0
270,271,704,3.21302E-05,40
271,272,693,3.16282E-05,693
272,273,693,3.16282E-05,693
273,274,714,3.25866E-05,714
274,275,73,3.33169E-06,0
275,276,714,3.25866E-05,658
276,277,714,3.25866E-05,594
277,278,714,3.25866E-05,195
278,279,693,3.16282E-05,153
279,280,714,3.25866E-05,251
280,281,693,3.16282E-05,693
281,282,693,3.16282E-05,106
282,283,714,3.25866E-05,667
283,284,693,3.16282E-05,554
284,285,231,1.05427E-05,231
285,286,693,3.16282E-05,0
286,287,693,3.16282E-05,0
287,288,714,3.25866E-05,420
288,289,693,3.16282E-05,693
289,290,693,3.16282E-05,693
290,292,693,3.16282E-05,117
291,293,693,3.16282E-05,508
292,294,693,3.16282E-05,113
293,295,693,3.16282E-05,684
294,296,693,3.16282E-05,645
295,297,693,3.16282E-05,0
296,298,693,3.16282E-05,481
297,299,693,3.16282E-05,48
298,300,693,3.16282E-05,612
299,301,693,3.16282E-05,622
300,302,726,3.31343E-05,706
301,303,693,3.16282E-05,102
302,304,693,3.16282E-05,693
303,305,693,3.16282E-05,19
304,306,714,3.25866E-05,0
305,307,714,3.25866E-05,2
306,308,693,3.16282E-05,156
307,309,697,3.18108E-05,697
308,310,693,3.16282E-05,255
309,311,693,3.16282E-05,0
310,312,693,3.16282E-05,584
311,313,714,3.25866E-05,686
312,314,714,3.25866E-05,714
313,315,693,3.16282E-05,583
314,316,693,3.16282E-05,639
315,317,714,3.25866E-05,0
316,318,693,3.16282E-05,408
317,319,693,3.16282E-05,592
318,320,588,2.6836E-05,587
319,321,693,3.16282E-05,681
320,322,714,3.25866E-05,0
321,323,693,3.16282E-05,671
322,324,693,3.16282E-05,672
323,325,714,3.25866E-05,691
324,326,693,3.16282E-05,0
325,327,306,1.39657E-05,273
326,328,693,3.16282E-05,1
327,329,693,3.16282E-05,336
328,330,693,3.16282E-05,192
329,331,693,3.16282E-05,90
330,332,693,3.16282E-05,0
331,333,693,3.16282E-05,0
332,334,693,3.16282E-05,0
333,335,714,3.25866E-05,714
334,336,723,3.29974E-05,198
335,337,693,3.16282E-05,693
336,338,693,3.16282E-05,148
337,339,714,3.25866E-05,606
338,340,693,3.16282E-05,0
339,341,693,3.16282E-05,0
340,342,22,1.00407E-06,22
341,343,714,3.25866E-05,596
342,344,693,3.16282E-05,83
343,345,693,3.16282E-05,693
344,346,714,3.25866E-05,680
345,347,693,3.16282E-05,693
346,348,693,3.16282E-05,680
347,349,714,3.25866E-05,692
348,350,693,3.16282E-05,111
349,351,693,3.16282E-05,693
350,352,693,3.16282E-05,0
351,353,714,3.25866E-05,42
352,354,10,4.56395E-07,10
353,355,714,3.25866E-05,473
354,356,693,3.16282E-05,596
355,357,714,3.25866E-05,0
356,358,714,3.25866E-05,514
357,359,714,3.25866E-05,640
358,360,693,3.16282E-05,287
359,361,698,3.18564E-05,640
360,362,717,3.27235E-05,0
361,363,693,3.16282E-05,129
362,364,739,3.37276E-05,491
363,365,714,3.25866E-05,567
364,366,699,3.1902E-05,699
365,367,726,3.31343E-05,162
366,368,693,3.16282E-05,538
367,369,745,3.40014E-05,0
368,370,714,3.25866E-05,0
369,371,714,3.25866E-05,0
370,372,693,3.16282E-05,23
371,373,693,3.16282E-05,0
372,374,693,3.16282E-05,426
373,375,486,2.21808E-05,486
374,376,693,3.16282E-05,568
375,377,714,3.25866E-05,714
376,378,714,3.25866E-05,472
377,379,719,3.28148E-05,95
378,380,693,3.16282E-05,693
379,381,707,3.22671E-05,0
380,382,704,3.21302E-05,0
381,383,714,3.25866E-05,668
382,384,712,3.24953E-05,0
383,385,693,3.16282E-05,693
384,386,693,3.16282E-05,684
385,387,693,3.16282E-05,10
386,388,693,3.16282E-05,693
387,389,693,3.16282E-05,0
388,390,693,3.16282E-05,232
389,391,693,3.16282E-05,543
390,392,714,3.25866E-05,714
391,393,711,3.24497E-05,198
392,394,748,3.41384E-05,459
393,395,714,3.25866E-05,187
394,396,693,3.16282E-05,693
395,397,18,8.21511E-07,0
396,398,693,3.16282E-05,612
397,399,693,3.16282E-05,74
398,400,705,3.21759E-05,77
399,401,693,3.16282E-05,644
400,402,693,3.16282E-05,660
401,403,714,3.25866E-05,0
402,404,693,3.16282E-05,635
403,405,693,3.16282E-05,656
404,406,693,3.16282E-05,693
405,407,693,3.16282E-05,206
406,408,693,3.16282E-05,0
407,409,714,3.25866E-05,0
408,410,693,3.16282E-05,693
409,411,693,3.16282E-05,669
410,412,714,3.25866E-05,714
411,413,714,3.25866E-05,99
412,414,693,3.16282E-05,0
413,415,693,3.16282E-05,628
414,416,702,3.20389E-05,428
415,417,693,3.16282E-05,693
416,418,693,3.16282E-05,669
417,419,714,3.25866E-05,627
418,420,693,3.16282E-05,0
419,421,720,3.28605E-05,631
420,422,594,2.71099E-05,241
421,423,561,2.56038E-05,479
422,424,165,7.53052E-06,165
423,425,693,3.16282E-05,0
424,426,693,3.16282E-05,0
425,427,693,3.16282E-05,0
426,428,714,3.25866E-05,0
427,429,714,3.25866E-05,0
428,430,693,3.16282E-05,653
429,431,462,2.10855E-05,115
430,432,693,3.16282E-05,0
431,433,693,3.16282E-05,683
432,434,714,3.25866E-05,641
433,435,748,3.41384E-05,680
434,436,693,3.16282E-05,224
435,437,693,3.16282E-05,686
436,438,714,3.25866E-05,700
437,439,714,3.25866E-05,0
438,440,714,3.25866E-05,714
439,441,714,3.25866E-05,0
440,442,693,3.16282E-05,693
441,443,714,3.25866E-05,166
442,444,697,3.18108E-05,697
443,445,693,3.16282E-05,2
444,446,693,3.16282E-05,0
445,447,693,3.16282E-05,0
446,448,693,3.16282E-05,685
447,449,714,3.25866E-05,714
448,450,693,3.16282E-05,576
449,451,704,3.21302E-05,704
450,452,714,3.25866E-05,0
451,453,693,3.16282E-05,0
452,454,714,3.25866E-05,714
453,455,714,3.25866E-05,491
454,456,693,3.16282E-05,0
455,457,714,3.25866E-05,0
456,458,740,3.37732E-05,61
457,459,714,3.25866E-05,627
458,460,693,3.16282E-05,693
459,461,714,3.25866E-05,0
460,462,693,3.16282E-05,0
461,463,693,3.16282E-05,107
462,464,693,3.16282E-05,693
463,465,693,3.16282E-05,693
464,466,693,3.16282E-05,0
465,467,693,3.16282E-05,1
466,468,714,3.25866E-05,714
467,469,693,3.16282E-05,693
468,470,714,3.25866E-05,714
469,471,693,3.16282E-05,0
470,472,714,3.25866E-05,714
471,473,713,3.2541E-05,634
472,474,693,3.16282E-05,0
473,475,399,1.82102E-05,383
474,476,693,3.16282E-05,674
475,477,693,3.16282E-05,248
476,478,714,3.25866E-05,0
477,479,698,3.18564E-05,672
478,480,714,3.25866E-05,0
479,481,714,3.25866E-05,714
480,482,714,3.25866E-05,134
481,483,693,3.16282E-05,547
482,484,714,3.25866E-05,714
483,485,693,3.16282E-05,693
484,486,693,3.16282E-05,0
485,487,693,3.16282E-05,693
486,488,703,3.20846E-05,703
487,489,697,3.18108E-05,697
488,490,561,2.56038E-05,549
489,491,693,3.16282E-05,163
490,492,693,3.16282E-05,693
491,493,714,3.25866E-05,709
492,494,714,3.25866E-05,315
493,495,714,3.25866E-05,499
494,496,714,3.25866E-05,714
495,497,699,3.1902E-05,400
496,498,693,3.16282E-05,620
497,499,695,3.17195E-05,692
498,500,714,3.25866E-05,365
499,501,714,3.25866E-05,564
500,502,693,3.16282E-05,0
501,503,475,2.16788E-05,408
502,504,693,3.16282E-05,658
503,505,693,3.16282E-05,0
504,506,693,3.16282E-05,693
505,507,693,3.16282E-05,0
506,508,693,3.16282E-05,0
507,509,663,3.0259E-05,6
508,510,693,3.16282E-05,0
509,511,170,7.75872E-06,170
510,512,693,3.16282E-05,693
511,513,693,3.16282E-05,693
512,514,693,3.16282E-05,214
513,515,714,3.25866E-05,714
514,516,605,2.76119E-05,605
515,517,706,3.22215E-05,706
516,518,714,3.25866E-05,0
517,519,714,3.25866E-05,606
518,520,717,3.27235E-05,99
519,521,693,3.16282E-05,90
520,522,561,2.56038E-05,561
521,523,714,3.25866E-05,73
522,524,693,3.16282E-05,63
523,525,170,7.75872E-06,170
524,526,693,3.16282E-05,318
525,527,693,3.16282E-05,693
526,528,693,3.16282E-05,182
527,529,693,3.16282E-05,693
528,530,714,3.25866E-05,714
529,531,714,3.25866E-05,165
530,532,693,3.16282E-05,14
531,533,704,3.21302E-05,561
532,534,693,3.16282E-05,518
533,535,721,3.29061E-05,721
534,536,714,3.25866E-05,0
535,537,693,3.16282E-05,693
536,538,693,3.16282E-05,565
537,539,693,3.16282E-05,0
538,540,340,1.55174E-05,340
539,541,702,3.20389E-05,0
540,542,693,3.16282E-05,693
541,543,693,3.16282E-05,641
542,544,693,3.16282E-05,152
543,545,693,3.16282E-05,0
544,546,714,3.25866E-05,232
545,547,693,3.16282E-05,162
546,548,693,3.16282E-05,693
547,549,693,3.16282E-05,654
548,550,708,3.23128E-05,708
549,551,693,3.16282E-05,680
550,552,225,1.02689E-05,0
551,553,693,3.16282E-05,0
552,554,714,3.25866E-05,185
553,555,693,3.16282E-05,682
554,556,714,3.25866E-05,0
555,557,714,3.25866E-05,650
556,558,693,3.16282E-05,351
557,559,714,3.25866E-05,678
558,560,693,3.16282E-05,682
559,561,714,3.25866E-05,714
560,562,714,3.25866E-05,686
561,563,696,3.17651E-05,142
562,564,693,3.16282E-05,618
563,565,693,3.16282E-05,133
564,566,714,3.25866E-05,527
565,567,693,3.16282E-05,524
566,568,693,3.16282E-05,374
567,569,693,3.16282E-05,687
568,570,714,3.25866E-05,714
569,571,726,3.31343E-05,0
570,572,693,3.16282E-05,0
571,573,693,3.16282E-05,693
572,574,609,2.77945E-05,600
573,575,693,3.16282E-05,676
574,576,714,3.25866E-05,371
575,577,714,3.25866E-05,148
576,578,714,3.25866E-05,216
577,579,693,3.16282E-05,693
578,580,693,3.16282E-05,693
579,581,714,3.25866E-05,0
580,582,694,3.16738E-05,680
581,583,693,3.16282E-05,0
582,584,693,3.16282E-05,540
583,585,693,3.16282E-05,640
584,586,714,3.25866E-05,618
585,587,714,3.25866E-05,0
586,588,693,3.16282E-05,0
587,589,697,3.18108E-05,697
588,590,693,3.16282E-05,0
589,591,66,3.01221E-06,35
590,592,693,3.16282E-05,693
591,593,714,3.25866E-05,714
592,594,693,3.16282E-05,0
593,595,693,3.16282E-05,8
594,596,693,3.16282E-05,0
595,597,693,3.16282E-05,30
596,598,714,3.25866E-05,486
597,599,571,2.60602E-05,261
598,600,693,3.16282E-05,687
599,601,714,3.25866E-05,0
600,602,693,3.16282E-05,659
601,603,714,3.25866E-05,52
602,604,714,3.25866E-05,688
603,605,711,3.24497E-05,0
604,606,693,3.16282E-05,0
605,607,693,3.16282E-05,0
606,608,693,3.16282E-05,165
607,609,725,3.30887E-05,704
608,610,693,3.16282E-05,677
609,611,714,3.25866E-05,134
610,612,693,3.16282E-05,0
611,613,693,3.16282E-05,66
612,614,33,1.5061E-06,33
613,615,714,3.25866E-05,669
614,616,693,3.16282E-05,601
615,617,693,3.16282E-05,637
616,618,532,2.42802E-05,0
