OBJECTID,OBJECTID_1,COUNT,AREA,SUM
1,1,714,3.25866E-05,47
2,2,693,3.16282E-05,0
3,3,693,3.16282E-05,48
4,4,693,3.16282E-05,4
5,5,738,3.3682E-05,0
6,6,693,3.16282E-05,11
7,7,693,3.16282E-05,0
8,8,693,3.16282E-05,0
9,9,709,3.23584E-05,8
10,10,714,3.25866E-05,51
11,11,693,3.16282E-05,41
12,12,693,3.16282E-05,1
13,13,693,3.16282E-05,57
14,14,714,3.25866E-05,0
15,15,693,3.16282E-05,0
16,16,693,3.16282E-05,172
17,17,714,3.25866E-05,78
18,18,693,3.16282E-05,0
19,19,693,3.16282E-05,0
20,20,693,3.16282E-05,0
21,21,693,3.16282E-05,0
22,22,693,3.16282E-05,0
23,23,714,3.25866E-05,0
24,24,693,3.16282E-05,0
25,25,714,3.25866E-05,0
26,26,709,3.23584E-05,0
27,27,693,3.16282E-05,181
28,28,693,3.16282E-05,0
29,29,693,3.16282E-05,0
30,30,18,8.21511E-07,0
31,31,693,3.16282E-05,0
32,32,693,3.16282E-05,0
33,33,693,3.16282E-05,0
34,34,693,3.16282E-05,0
35,35,714,3.25866E-05,0
36,36,495,2.25916E-05,7
37,37,714,3.25866E-05,4
38,38,706,3.22215E-05,0
39,39,693,3.16282E-05,0
40,40,713,3.2541E-05,40
41,41,693,3.16282E-05,9
42,42,714,3.25866E-05,0
43,43,700,3.19477E-05,0
44,44,693,3.16282E-05,18
45,45,703,3.20846E-05,6
46,46,170,7.75872E-06,0
47,47,693,3.16282E-05,0
48,48,714,3.25866E-05,0
49,49,693,3.16282E-05,0
50,50,695,3.17195E-05,0
51,51,714,3.25866E-05,3
52,52,714,3.25866E-05,1
53,53,714,3.25866E-05,5
54,54,693,3.16282E-05,80
55,55,714,3.25866E-05,95
56,56,714,3.25866E-05,0
57,57,695,3.17195E-05,10
58,58,63,2.87529E-06,9
59,59,358,1.6339E-05,0
60,60,693,3.16282E-05,0
61,61,693,3.16282E-05,0
62,62,693,3.16282E-05,19
63,63,693,3.16282E-05,34
64,64,697,3.18108E-05,0
65,65,714,3.25866E-05,0
66,66,693,3.16282E-05,0
67,67,726,3.31343E-05,0
68,68,714,3.25866E-05,40
69,69,693,3.16282E-05,0
70,70,714,3.25866E-05,0
71,71,693,3.16282E-05,24
72,72,693,3.16282E-05,0
73,73,714,3.25866E-05,0
74,74,714,3.25866E-05,0
75,75,363,1.65671E-05,41
76,76,714,3.25866E-05,53
77,77,714,3.25866E-05,0
78,78,693,3.16282E-05,10
79,79,743,3.39102E-05,0
80,80,714,3.25866E-05,0
81,81,693,3.16282E-05,0
82,82,714,3.25866E-05,8
83,83,722,3.29517E-05,89
84,84,748,3.41384E-05,0
85,85,693,3.16282E-05,158
86,86,693,3.16282E-05,0
87,87,714,3.25866E-05,0
88,88,693,3.16282E-05,43
89,89,714,3.25866E-05,30
90,90,693,3.16282E-05,13
91,91,693,3.16282E-05,7
92,92,698,3.18564E-05,180
93,93,693,3.16282E-05,0
94,94,483,2.20439E-05,3
95,95,714,3.25866E-05,0
96,96,693,3.16282E-05,6
97,97,693,3.16282E-05,0
98,98,693,3.16282E-05,0
99,99,693,3.16282E-05,0
100,100,693,3.16282E-05,12
101,101,714,3.25866E-05,12
102,102,693,3.16282E-05,0
103,103,693,3.16282E-05,0
104,104,726,3.31343E-05,0
105,105,693,3.16282E-05,0
106,106,693,3.16282E-05,164
107,107,693,3.16282E-05,38
108,108,693,3.16282E-05,0
109,109,693,3.16282E-05,0
110,110,693,3.16282E-05,0
111,111,693,3.16282E-05,0
112,112,693,3.16282E-05,0
113,113,693,3.16282E-05,0
114,114,693,3.16282E-05,0
115,115,693,3.16282E-05,249
116,116,693,3.16282E-05,0
117,117,745,3.40014E-05,0
118,118,693,3.16282E-05,0
119,119,693,3.16282E-05,0
120,120,693,3.16282E-05,0
121,121,714,3.25866E-05,0
122,122,693,3.16282E-05,99
123,123,693,3.16282E-05,0
124,124,561,2.56038E-05,1
125,125,726,3.31343E-05,41
126,126,714,3.25866E-05,0
127,127,693,3.16282E-05,10
128,128,717,3.27235E-05,0
129,130,714,3.25866E-05,4
130,131,693,3.16282E-05,0
