OBJECTID,OBJECTID_1,COUNT,AREA,SUM,Flooded
1,1,2500,250000,0,0
2,2,2500,250000,0,0
3,3,2500,250000,0,0
4,4,2500,250000,0,0
5,5,2500,250000,0,0
6,6,2500,250000,0,0
7,7,2500,250000,0,0
8,8,2500,250000,0,0
9,9,2500,250000,0,0
10,10,2500,250000,0,0
11,11,2500,250000,0,0
12,12,2500,250000,8,1
13,13,2500,250000,0,0
14,14,2500,250000,0,0
15,15,2500,250000,0,0
16,16,2500,250000,1416,1
17,17,2500,250000,445,1
18,18,2500,250000,0,0
19,19,2500,250000,0,0
20,20,2500,250000,0,0
21,21,2500,250000,0,0
22,22,2500,250000,0,0
23,23,2500,250000,0,0
24,24,2500,250000,0,0
25,25,2500,250000,0,0
26,26,2500,250000,0,0
27,27,2500,250000,651,1
28,28,2500,250000,0,0
29,29,2500,250000,0,0
30,30,66,6600,0,0
31,31,2500,250000,0,0
32,32,2500,250000,0,0
33,33,2500,250000,0,0
34,34,2500,250000,0,0
35,35,2500,250000,0,0
36,36,1850,185000,36,1
37,37,2500,250000,0,0
38,38,2500,250000,0,0
39,39,2500,250000,0,0
40,40,2500,250000,0,0
41,41,2500,250000,0,0
42,42,2500,250000,0,0
43,43,2500,250000,0,0
44,44,2500,250000,661,1
45,45,2500,250000,0,0
46,46,682,68200,0,0
47,47,2500,250000,0,0
48,48,2500,250000,0,0
49,49,2500,250000,1394,1
50,50,2500,250000,0,0
51,51,2500,250000,0,0
52,52,2500,250000,1,1
53,53,2500,250000,0,0
54,54,2500,250000,481,1
55,55,2500,250000,0,0
56,56,2500,250000,0,0
57,57,2500,250000,0,0
58,58,200,20000,0,0
59,59,1266,126600,0,0
60,60,2500,250000,0,0
61,61,2500,250000,0,0
62,62,2500,250000,0,0
63,63,2500,250000,0,0
64,64,2500,250000,0,0
65,65,2500,250000,0,0
66,66,2500,250000,2497,1
67,67,2500,250000,0,0
68,68,2500,250000,0,0
69,69,2500,250000,0,0
70,70,2500,250000,0,0
71,71,2500,250000,0,0
72,72,2500,250000,0,0
73,73,2500,250000,0,0
74,74,2500,250000,0,0
75,75,1285,128500,0,0
76,76,2500,250000,0,0
77,77,2500,250000,0,0
78,78,2500,250000,38,1
79,79,2500,250000,0,0
80,80,2500,250000,0,0
81,81,2500,250000,0,0
82,82,2500,250000,0,0
83,83,2500,250000,603,1
84,84,2500,250000,0,0
85,85,2500,250000,560,1
86,86,2500,250000,0,0
87,87,2500,250000,0,0
