OID_,Shape_Length,Shape_Area,Park Majority,Impervious_majority,Water_majority,Low_permeability,elevation_min
1,1444.259831,40433.78384,0,1,1,0,-0.379773974
2,2000,250000,1,1,1,1,50.82452774
3,1896.444272,234374.2931,0,1,1,1,49.79371262
4,2000,250000,1,1,1,1,84.73822021
5,2000,250000,0,1,1,1,15.20001888
6,2000,250000,1,1,1,1,22.30749512
7,2000,250000,0,1,1,1,-0.589999974
8,2000,250000,1,1,1,1,11.46041965
9,2000,250000,1,1,1,1,1.522113085
10,2000,250000,1,1,1,1,0
11,2130.753283,205451.1077,1,1,1,0,-0.540000021
12,1985.257851,246757.1136,0,1,1,0,-0.680000007
13,1110.320021,52879.20735,1,1,1,1,82.07975769
14,2000,250000,0,1,1,1,12.13696194
15,2000,250000,1,1,1,1,61.82979584
16,2000,250000,0,1,1,0,-0.519999981
17,2000,250000,1,1,1,0,-0.540000021
18,2000,250000,0,1,1,1,23.82459259
19,2000,250000,0,1,1,1,7.524262905
20,2000,250000,0,1,1,1,21.695261
21,2000,250000,1,1,1,1,-0.480128288
22,2000,250000,1,1,1,1,28.72229958
23,2000,250000,1,1,1,1,0
24,2000,250000,0,1,1,1,47.48289108
25,2000,250000,1,1,1,1,57.87314224
26,2000,250000,0,1,1,1,35.65966415
27,1729.587081,143451.761,0,1,1,1,0
28,2000,250000,1,1,1,1,24.02749825
29,1113.03193,53137.83328,0,1,1,1,45.49000168
30,2000,250000,0,1,1,1,-0.589999974
31,2000,250000,1,1,1,1,45.47084808
32,2000,250000,0,1,1,1,26.68821526
33,2000,250000,0,1,1,1,0
34,2000,250000,0,1,1,1,45.61927032
35,1838.702437,170217.1805,1,1,1,0,-0.677244484
36,2000,250000,1,1,1,1,10.51148701
37,2000,250000,1,1,1,1,34.64797211
38,102.5407781,341.6334001,1,1,1,0,-0.680000007
39,2000,250000,0,1,1,1,63.36270905
40,2000,250000,0,1,1,0,-0.660000026
41,2000,250000,0,1,1,1,-0.540000021
42,133.4208094,763.546965,1,1,1,1,71.37662506
43,2000,250000,0,1,1,1,56.25699615
44,2000,250000,1,1,1,1,85.01383209
45,2000,250000,0,1,1,1,22.8647728
46,2000,250000,0,1,1,1,34.14389801
47,2000,250000,1,1,1,1,20.61499596
48,2000,250000,0,1,1,1,22.36929893
49,93.5136259,375.091899,1,1,1,1,24.34260368
50,2000,250000,0,1,1,1,19.01885796
51,2000,250000,0,1,1,1,51.81282043
52,2000,250000,1,1,1,1,46.20883942
53,136.8442414,803.2332279,0,1,1,1,39.80547333
54,2000,250000,0,1,1,1,26.06827164
55,2000,250000,0,1,1,1,-0.540000021
56,2000,250000,0,1,1,1,2.977306128
57,2000,250000,0,1,1,0,-0.680000007
58,2000,250000,0,1,1,1,45.19509125
59,2000,250000,1,1,1,1,95.93522644
60,2000,250000,0,1,1,1,99.88265991
61,1828.108537,202593.3498,1,1,1,1,14.86025429
62,128.6286192,709.6820629,0,1,1,1,19.03246689
63,2000,250000,0,1,1,1,12.1520071
64,2000,250000,0,1,1,0,71.49377441
65,2000,250000,0,1,1,1,-0.680000007
66,2000,250000,0,1,1,1,36.52470779
67,2000,250000,1,1,1,1,29.93546486
68,2000,250000,1,1,1,1,96.77635956
69,134.7904212,779.3035851,0,1,1,1,63.23665237
70,2000,250000,0,1,1,0,24.04805565
71,2000,250000,0,1,1,1,-0.030066775
72,2000,250000,0,1,1,1,23.70733261
73,2000,250000,1,1,1,1,95.36763763
74,2000,250000,1,1,1,1,46.64435196
75,2000,250000,0,1,1,1,6.673323154
76,1914.274844,191402.1112,1,1,1,1,62.21963501
77,2000,250000,1,1,1,1,1.760255575
78,1897.374911,234653.8826,0,1,1,1,54.56040955
79,2000,250000,0,1,1,1,-0.670000017
80,2000,250000,1,1,1,1,5.555080891
81,2000,250000,0,1,1,1,3.939401865
82,2000,250000,0,1,1,0,9.522688866
83,2000,250000,0,1,1,1,26.63875771
84,2000,250000,0,1,1,1,0
85,2000,250000,0,1,1,1,45.99375534
86,2000,250000,1,1,1,1,2.602074623
87,2000,250000,1,1,1,1,29.92743301
88,1724.120299,139099.9812,1,1,1,1,89.75666809
89,2000,250000,1,1,1,1,33.47389984
90,2000,250000,1,1,1,1,44.49100494
91,2000,250000,1,1,1,0,6.227870941
92,1724.766362,139618.7906,0,1,1,1,-0.680000007
93,2000,250000,1,1,1,1,4.642731667
94,2000,250000,0,1,1,1,42.67726517
95,2000,250000,0,1,1,1,54.2484169
96,2000,250000,1,1,1,1,0.310310662
97,1934.365124,173528.1031,1,1,1,1,18.88210678
